,Opening,Games_Played,Games_Won,Win_Rate
460,"king's gambit accepted, bishop's gambit",238,136.0,0.5714285714285714
461,"sicilian defense: paulsen variation, bastrikov variation",238,110.0,0.46218487394957986
462,gruenfeld defense: exchange variation,237,107.0,0.45147679324894513
463,"caro-kann defense: classical variation, main line",236,120.0,0.5084745762711864
464,king's pawn game: tayler opening,235,111.0,0.4723404255319149
465,indian game: omega gambit,234,103.0,0.44017094017094016
466,"trompowsky attack: classical defense, big center variation",233,115.0,0.49356223175965663
467,indian game: pawn push variation,233,96.0,0.41201716738197425
468,trompowsky attack: classical defense,233,103.0,0.44206008583690987
469,"king's indian defense: saemisch variation, normal defense",232,116.0,0.5
470,catalan opening: closed variation,232,127.0,0.5474137931034483
471,"ruy lopez: exchange variation, king's bishop variation",230,128.0,0.5565217391304348
472,center game: berger variation,229,107.0,0.4672489082969432
473,"scotch game: goering gambit, double pawn sacrifice",229,138.0,0.6026200873362445
474,"bishop's opening: vienna hybrid, spielmann attack",228,126.0,0.5526315789473685
475,french defense: horwitz attack,227,123.0,0.5418502202643172
476,slav defense: schlechter variation,226,114.0,0.504424778761062
477,"sicilian defense: najdorf variation, opocensky variation",224,115.0,0.5133928571428571
478,blumenfeld countergambit #2,224,112.0,0.5
479,"englund gambit declined, reversed alekhine",224,115.0,0.5133928571428571
480,"french defense: advance variation, main line",223,109.0,0.48878923766816146
481,"english opening: king's english variation, kramnik-shirov counterattack",223,112.0,0.5022421524663677
482,amazon attack,223,86.0,0.38565022421524664
483,"english opening: anglo-indian defense, king's knight variation",223,122.0,0.547085201793722
484,"sicilian defense: accelerated dragon, exchange variation",222,97.0,0.4369369369369369
485,dutch defense: raphael variation,222,110.0,0.4954954954954955
486,queen's gambit declined: traditional variation,222,111.0,0.5
487,scandinavian defense: boehnke gambit,221,109.0,0.49321266968325794
488,caro-kann defense: accelerated panov attack #2,219,112.0,0.5114155251141552
489,canard opening,218,104.0,0.47706422018348627
490,caro-kann defense: maroczy variation,218,117.0,0.536697247706422
491,king's pawn game: gunderam gambit,218,127.0,0.5825688073394495
492,"queen's gambit declined: tarrasch defense, pseudo-tarrasch",218,128.0,0.5871559633027523
493,"italian game: classical variation, greco gambit, traditional line",218,114.0,0.5229357798165137
494,french defense: reti-spielmann attack,217,109.0,0.5023041474654378
495,sicilian defense: smith-morra gambit deferred,215,100.0,0.46511627906976744
496,nimzo-indian defense: classical variation,215,109.0,0.5069767441860465
497,"queen's gambit refused: albin countergambit, normal line",214,98.0,0.45794392523364486
498,mexican defense,214,105.0,0.49065420560747663
499,reti opening: advance variation,214,113.0,0.5280373831775701
500,scotch game: goering gambit,214,128.0,0.5981308411214953
501,"queen's pawn game: veresov attack, alburt defense",212,96.0,0.4528301886792453
502,tarrasch defense,212,112.0,0.5283018867924528
503,vienna game: zhuravlev countergambit #2,212,108.0,0.5094339622641509
504,russian game: cozio (lasker) attack,211,113.0,0.5355450236966824
505,"sicilian defense: french variation, normal",211,93.0,0.44075829383886256
506,english opening: anglo-lithuanian variation,211,111.0,0.5260663507109005
507,owen defense: smith gambit,210,100.0,0.47619047619047616
508,king's knight opening: konstantinopolsky,209,89.0,0.4258373205741627
509,ruy lopez: nuernberg variation,209,119.0,0.569377990430622
510,blackmar-diemer gambit: gedult gambit,209,104.0,0.49760765550239233
511,latvian gambit,208,102.0,0.49038461538461536
512,"king's gambit accepted, modern defense",207,99.0,0.4782608695652174
513,philidor defense: morphy gambit,207,132.0,0.6376811594202898
514,scotch game: lolli variation,206,132.0,0.6407766990291263
515,"french defense: winawer variation, advance variation",206,112.0,0.5436893203883495
516,"gruenfeld defense: three knights variation, burille variation",206,90.0,0.4368932038834951
517,"slav defense: slav gambit, alekhine attack",205,118.0,0.5756097560975609
518,"queen's gambit refused: baltic defense, pseudo-slav",204,108.0,0.5294117647058824
519,"queen's gambit refused: chigorin defense, janowski variation",203,129.0,0.6354679802955665
520,hungarian opening: reversed modern defense,203,96.0,0.4729064039408867
521,"sicilian defense: dragon variation, yugoslav attack, modern line",202,98.0,0.48514851485148514
522,"caro-kann defense: advance variation, van der wiel attack",201,77.0,0.38308457711442784
523,"king's gambit accepted, becker defense",201,92.0,0.4577114427860697
524,french defense: schlechter variation,200,92.0,0.46
525,semi-slav defense: noteboom variation,199,101.0,0.507537688442211
526,"sicilian defense: nimzowitsch variation, closed variation",199,111.0,0.5577889447236181
527,four knights game: double spanish,198,105.0,0.5303030303030303
528,"sicilian defense: closed variation, fianchetto variation",198,117.0,0.5909090909090909
529,"french defense: winawer variation, delayed exchange variation",197,90.0,0.45685279187817257
530,english opening: agincourt defense #2,196,95.0,0.4846938775510204
531,blackmar-diemer gambit: ryder gambit,196,97.0,0.49489795918367346
532,sicilian defense: drazic variation,196,86.0,0.4387755102040816
533,queen's gambit refused: chigorin defense #2,195,118.0,0.6051282051282051
534,french defense: wing gambit,195,101.0,0.517948717948718
535,"grob opening: grob gambit, fritz gambit",195,96.0,0.49230769230769234
536,slav indian,194,105.0,0.5412371134020618
537,philidor defense: lion variation,194,72.0,0.3711340206185567
538,philidor defense: lopez countergambit,193,100.0,0.5181347150259067
539,"italian game: two knights defense, traxler counterattack, knight sacrifice line",191,78.0,0.4083769633507853
540,french defense: chigorin variation,190,96.0,0.5052631578947369
541,sicilian defense: pin variation,190,74.0,0.3894736842105263
542,paleface attack,186,72.0,0.3870967741935484
543,"sicilian defense: kan variation, maroczy bind, reti variation",186,92.0,0.4946236559139785
544,caro-kann defense: tartakower variation,186,86.0,0.46236559139784944
545,"sicilian defense: lasker-pelikan variation, schlechter variation",185,85.0,0.4594594594594595
546,"sicilian defense: scheveningen variation, english attack #2",185,85.0,0.4594594594594595
547,"modern defense: two knights variation, suttles variation",185,75.0,0.40540540540540543
548,ruy lopez: morphy defense,183,98.0,0.5355191256830601
549,queen's pawn game: steinitz countergambit,182,83.0,0.45604395604395603
550,scandinavian defense: modern variation,182,100.0,0.5494505494505495
551,sicilian defense: scheveningen variation,182,90.0,0.4945054945054945
552,hungarian opening: reversed alekhine,181,105.0,0.580110497237569
553,"slav defense: quiet variation, schallopp defense",181,76.0,0.4198895027624309
554,dutch defense: classical variation,181,87.0,0.48066298342541436
555,french defense: perseus gambit,179,64.0,0.3575418994413408
556,four knights game: ranken variation,179,103.0,0.5754189944134078
557,"king's gambit, falkbeer countergambit, staunton line",179,72.0,0.4022346368715084
558,"danish gambit declined, sorensen defense",178,78.0,0.43820224719101125
559,"sicilian defense: accelerated dragon, maroczy bind",178,94.0,0.5280898876404494
560,budapest defense: rubinstein variation,178,93.0,0.5224719101123596
561,sicilian defense: paulsen-basman defense,177,83.0,0.4689265536723164
562,dutch defense: normal variation,177,77.0,0.4350282485875706
563,king's indian attack: sicilian variation,177,86.0,0.4858757062146893
564,"caro-kann defense: advance variation, bayonet attack",177,103.0,0.5819209039548022
565,french defense,174,70.0,0.40229885057471265
566,"vienna game: stanley variation, three knights variation",173,90.0,0.5202312138728323
567,"french defense: horwitz attack, papa-ticulat gambit",172,91.0,0.5290697674418605
568,nimzowitsch defense: pseudo-spanish variation,172,76.0,0.4418604651162791
569,ruy lopez: berlin defense,172,108.0,0.627906976744186
570,queen's gambit accepted: accelerated mannheim variation,172,109.0,0.6337209302325582
571,"caro-kann defense: advance variation, tal variation",171,92.0,0.5380116959064327
572,king's pawn game: dresden opening,169,76.0,0.44970414201183434
573,sicilian defense: godiva variation,169,72.0,0.4260355029585799
574,zukertort opening: nimzo-larsen variation,168,75.0,0.44642857142857145
575,alekhine defense: saemisch attack,167,100.0,0.5988023952095808
576,"queen's gambit refused: chigorin defense, modern gambit",167,103.0,0.6167664670658682
577,semi-slav defense: normal variation,167,81.0,0.48502994011976047
578,french defense: winawer variation,167,83.0,0.49700598802395207
579,"french defense: advance, steinitz variation",166,63.0,0.3795180722891566
580,"queen's gambit declined: vienna variation, quiet variation",165,89.0,0.5393939393939394
581,scandinavian defense: kloosterboer gambit,165,77.0,0.4666666666666667
582,king's indian defense: zinnowitz variation,164,71.0,0.4329268292682927
583,"queen's gambit refused: chigorin defense, exchange variation",164,92.0,0.5609756097560976
584,"scotch game: scotch gambit, dubois reti defense",164,75.0,0.4573170731707317
585,"modern defense: averbakh system, kotov variation",164,82.0,0.5
586,gruenfeld defense,163,61.0,0.37423312883435583
587,"englund gambit declined, reversed krebs",163,81.0,0.49693251533742333
588,scotch game: potter variation,162,76.0,0.4691358024691358
589,philidor defense: nimzowitsch variation,162,103.0,0.6358024691358025
590,vienna game: mengarini variation,161,84.0,0.5217391304347826
591,"gruenfeld defense: three knights variation, petrosian system",161,75.0,0.4658385093167702
592,sicilian defense: nimzowitsch variation,161,57.0,0.35403726708074534
593,"sicilian defense: scheveningen variation, classical variation",160,76.0,0.475
594,queen's indian defense,160,85.0,0.53125
595,sicilian defense: lasker-pelikan variation,160,72.0,0.45
596,"queen's gambit accepted: central variation, alekhine system",160,97.0,0.60625
597,"ruy lopez: berlin defense, rio gambit accepted",159,98.0,0.6163522012578616
598,"english opening: anglo-indian defense, king's indian formation",159,79.0,0.4968553459119497
599,"queen's gambit refused: chigorin defense, main line",159,82.0,0.5157232704402516
600,alekhine defense: mokele mbembe,159,107.0,0.6729559748427673
601,sicilian defense: morphy gambit,159,77.0,0.48427672955974843
602,"french defense: tarrasch variation, closed variation #2",159,78.0,0.49056603773584906
603,"italian game: giuoco pianissimo, canal variation",158,71.0,0.44936708860759494
604,italian game: rousseau gambit,158,73.0,0.4620253164556962
605,king's indian defense: makogonov variation,158,72.0,0.45569620253164556
606,"nimzowitsch defense: lean variation, colorado counter accepted",157,67.0,0.4267515923566879
607,sicilian defense: modern variations,157,79.0,0.5031847133757962
608,zukertort opening: arctic defense,156,98.0,0.6282051282051282
609,"italian game: two knights defense, fritz variation",155,61.0,0.3935483870967742
610,modern defense: pseudo-austrian attack,155,84.0,0.5419354838709678
611,benoni defense: benoni-indian defense,155,74.0,0.4774193548387097
612,"sicilian defense: kan variation, wing attack",154,69.0,0.44805194805194803
613,"italian game: two knights defense, polerio defense",153,55.0,0.35947712418300654
614,"italian game: two knights defense, knight attack",153,121.0,0.7908496732026143
615,"french defense: steinitz variation, boleslavsky variation",153,86.0,0.5620915032679739
616,nimzowitsch defense: lean variation,153,57.0,0.37254901960784315
617,center game: kieseritzky variation #2,152,95.0,0.625
618,"english opening: symmetrical variation, anti-benoni variation, spielmann defense",152,77.0,0.506578947368421
619,sicilian defense: jalalabad variation,152,91.0,0.5986842105263158
620,"queen's gambit declined: semi-tarrasch defense, pillsbury variation",151,75.0,0.4966887417218543
621,"english opening: king's english variation, two knights variation, reversed dragon",151,83.0,0.5496688741721855
622,zukertort opening: quiet system,151,58.0,0.3841059602649007
623,"danish gambit accepted, copenhagen defense",150,96.0,0.64
624,"french defense: exchange variation, svenonius variation",150,64.0,0.4266666666666667
625,pirc defense: roscher gambit,150,58.0,0.38666666666666666
626,sicilian defense: katalimov variation,149,78.0,0.5234899328859061
627,"nimzo-indian defense: three knights variation, duchamp variation",149,69.0,0.46308724832214765
628,"queen's pawn opening: veresov attack, irish gambit",149,65.0,0.436241610738255
629,zukertort opening: wade defense,149,73.0,0.4899328859060403
630,"italian game: two knights defense, de riviere gambit",149,65.0,0.436241610738255
631,"gruenfeld defense: exchange variation, modern exchange variation",148,70.0,0.47297297297297297
632,"sicilian defense: accelerated dragon, modern bc4 variation",148,85.0,0.5743243243243243
633,"queen's gambit accepted: normal variation, traditional system",148,81.0,0.5472972972972973
634,"queen's gambit accepted: central variation, mcdonnell defense",147,80.0,0.54421768707483
635,grob opening: grob gambit,147,55.0,0.3741496598639456
636,"pirc defense: classical variation, schlechter variation",146,66.0,0.4520547945205479
637,sicilian defense: o'kelly variation,145,61.0,0.4206896551724138
638,borg defense: borg gambit,145,92.0,0.6344827586206897
639,blackmar-diemer gambit: von popiel gambit,143,81.0,0.5664335664335665
640,"ruy lopez: morphy defense, tarrasch variation",142,68.0,0.4788732394366197
641,"english opening: king's english variation, three knights system",142,85.0,0.5985915492957746
642,"queen's gambit declined: exchange variation, positional variation",142,56.0,0.39436619718309857
643,king's gambit declined: keene's defense #2,141,87.0,0.6170212765957447
644,"king's gambit accepted, abbazia defense",141,67.0,0.475177304964539
645,"sicilian defense: kan variation, modern variation",141,68.0,0.48226950354609927
646,"sicilian defense: lasker-pelikan variation, sveshnikov variation, chelyabinsk variation",140,66.0,0.4714285714285714
647,scotch game: mieses variation,140,79.0,0.5642857142857143
648,scandinavian defense: portuguese variation,138,67.0,0.4855072463768116
649,indian game: seirawan attack,138,63.0,0.45652173913043476
650,"ruy lopez: morphy defense, modern steinitz defense",137,76.0,0.5547445255474452
651,french defense: pelikan variation,136,65.0,0.47794117647058826
652,alekhine defense: krejcik variation,136,65.0,0.47794117647058826
653,king's indian defense: semi-classical variation,136,61.0,0.4485294117647059
654,"vienna game: vienna gambit, steinitz gambit, knight variation",136,76.0,0.5588235294117647
655,amar opening,136,51.0,0.375
656,"sicilian defense: lasker-pelikan variation, retreat variation",135,48.0,0.35555555555555557
657,"king's gambit, falkbeer countergambit accepted",134,82.0,0.6119402985074627
658,"english opening: anglo-scandinavian defense, malvinas variation",134,72.0,0.5373134328358209
659,"indian game: colle system, king's indian variation",133,53.0,0.39849624060150374
660,french defense: burn variation,133,66.0,0.49624060150375937
661,dutch defense: hopton attack,132,74.0,0.5606060606060606
662,"queen's gambit accepted: central variation, modern defense",132,78.0,0.5909090909090909
663,colle system: traditional colle,131,62.0,0.4732824427480916
664,"english opening: king's english variation, four knights variation, fianchetto line",131,77.0,0.5877862595419847
665,"king's gambit, falkbeer countergambit, blackburne attack",131,56.0,0.42748091603053434
666,"russian game: modern attack, symmetrical variation #2",131,60.0,0.4580152671755725
667,russian game: nimzowitsch attack,131,65.0,0.4961832061068702
668,polish opening: king's indian variation,130,60.0,0.46153846153846156
669,vienna game: omaha gambit,130,87.0,0.6692307692307692
670,sicilian defense: keres variation,130,70.0,0.5384615384615384
671,"king's gambit declined, petrov's defense",130,76.0,0.5846153846153846
672,guatemala defense,128,86.0,0.671875
673,center game: hall variation,127,54.0,0.4251968503937008
674,english opening: mikenas-carls variation #2,127,60.0,0.47244094488188976
675,alekhine defense: four pawns attack,127,67.0,0.5275590551181102
676,vienna game: mieses variation,126,54.0,0.42857142857142855
677,modern defense: bishop attack,125,63.0,0.504
678,english opening: anglo-gruenfeld defense,125,53.0,0.424
679,zukertort opening: vos gambit,124,67.0,0.5403225806451613
680,"benko gambit accepted, fully accepted variation",124,63.0,0.5080645161290323
681,"sicilian defense: four knights variation, exchange variation",124,59.0,0.47580645161290325
682,indian game: reversed chigorin defense,124,43.0,0.3467741935483871
683,king's pawn game: alapin opening,123,61.0,0.4959349593495935
684,"sicilian defense: smith-morra gambit declined, scandinavian formation",122,59.0,0.48360655737704916
685,"queen's pawn opening: veresov, richter attack",121,39.0,0.32231404958677684
686,caro-kann defense: bronstein-larsen variation,120,60.0,0.5
687,queen's indian accelerated,120,63.0,0.525
688,nimzo-indian defense: normal line,120,62.0,0.5166666666666667
689,"sicilian defense: o'kelly variation, yerevan system",120,48.0,0.4
690,"grob opening: spike, hurst attack",120,69.0,0.575
691,center game: von der lasa gambit,120,62.0,0.5166666666666667
692,"ruy lopez: morphy defense, graz variation",120,62.0,0.5166666666666667
693,king's gambit accepted: king knight's gambit,119,65.0,0.5462184873949579
694,king's gambit declined: falkbeer countergambit,119,46.0,0.3865546218487395
695,king's indian attack: wahls defense,119,49.0,0.4117647058823529
696,"benoni defense: benoni-indian defense, kingside move order",119,58.0,0.48739495798319327
697,van geet opening: dunst-perrenet gambit,119,63.0,0.5294117647058824
698,semi-bononi,119,55.0,0.46218487394957986
699,"sicilian defense: smith-morra gambit accepted, paulsen formation",119,56.0,0.47058823529411764
700,"pirc defense: austrian attack, weiss variation",118,61.0,0.5169491525423728
701,"nimzo-indian defense: saemisch variation, accelerated",118,48.0,0.4067796610169492
702,blackmar-diemer gambit: netherlands variation,118,60.0,0.5084745762711864
703,van geet opening: napoleon attack,118,54.0,0.4576271186440678
704,slav defense: chameleon variation,117,53.0,0.452991452991453
705,"english opening: king's english variation, nimzowitsch variation",116,70.0,0.603448275862069
706,bishop's opening: khan gambit,116,71.0,0.6120689655172413
707,blackmar-diemer gambit: zeller defense,116,58.0,0.5
708,nimzo-indian defense: kmoch variation,115,68.0,0.591304347826087
709,"sicilian defense: smith-morra gambit accepted, scheveningen formation",115,57.0,0.4956521739130435
710,"sicilian defense: wing gambit, marshall variation",115,48.0,0.41739130434782606
711,"scandinavian defense: modern variation, gipslis variation",114,63.0,0.5526315789473685
712,"danish gambit accepted, classical defense",114,71.0,0.6228070175438597
713,"ruy lopez: classical variation, zukertort gambit",114,69.0,0.6052631578947368
714,french defense: steinitz variation #2,113,50.0,0.4424778761061947
715,blackmar-diemer gambit: euwe defense,113,69.0,0.6106194690265486
716,"french defense: tarrasch variation, open system, suechting line",113,51.0,0.45132743362831856
717,budapest defense,112,60.0,0.5357142857142857
718,king's pawn game: tortoise opening,112,38.0,0.3392857142857143
719,"italian game: two knights defense, ulvestad variation",112,38.0,0.3392857142857143
720,queen's gambit accepted: showalter variation,112,59.0,0.5267857142857143
721,russian game: classical attack,110,61.0,0.5545454545454546
722,blackmar-diemer gambit: teichmann variation,110,54.0,0.4909090909090909
723,"caro-kann defense: two knights attack, mindeno variation",110,45.0,0.4090909090909091
724,"king's indian defense: four pawns attack, dynamic attack",110,55.0,0.5
725,alekhine defense #3,109,54.0,0.4954128440366973
726,"ruy lopez: exchange variation, keres variation",109,59.0,0.5412844036697247
727,philidor defense: bird gambit,109,75.0,0.6880733944954128
728,"caro-kann defense: panov attack, modern defense, mieses line",109,59.0,0.5412844036697247
729,"caro-kann defense: classical, spassky variation",109,51.0,0.46788990825688076
730,"sicilian defense: wing gambit, carlsbad variation",108,60.0,0.5555555555555556
731,four knights game: halloween gambit,107,63.0,0.5887850467289719
732,"sicilian defense: nimzowitsch variation, advance variation",107,50.0,0.4672897196261682
733,"kangaroo defense: keres defense, transpositional variation",107,67.0,0.6261682242990654
734,"italian game: two knights defense, polerio defense, bogoljubov variation",107,56.0,0.5233644859813084
735,gruenfeld defense: stockholm variation,107,44.0,0.411214953271028
736,pirc defense: austrian attack,106,54.0,0.5094339622641509
737,"italian game: two knights defense, max lange attack",106,78.0,0.7358490566037735
738,modern defense: mongredien defense,106,69.0,0.6509433962264151
739,catalan opening,106,56.0,0.5283018867924528
740,"sicilian defense: dragon, 6.be3",106,46.0,0.4339622641509434
741,"old indian: czech variation, with nc3",105,48.0,0.45714285714285713
742,wade defense,105,53.0,0.5047619047619047
743,"caro-kann defense: accelerated panov attack, modern variation",104,37.0,0.3557692307692308
744,king's indian attack: yugoslav variation,104,47.0,0.4519230769230769
745,queen's gambit declined: semi-tarrasch defense,104,54.0,0.5192307692307693
746,kangaroo defense,103,62.0,0.6019417475728155
747,nimzowitsch defense: french connection,103,57.0,0.5533980582524272
748,scotch game: malaniuk variation,103,47.0,0.4563106796116505
749,gruenfeld defense: three knights variation,103,47.0,0.4563106796116505
750,"sicilian defense: dragon variation, yugoslav attack",103,59.0,0.5728155339805825
751,creepy crawly formation: classical defense,103,48.0,0.46601941747572817
752,"nimzo-indian defense: panov attack, main line",102,54.0,0.5294117647058824
753,"queen's pawn game: torre attack, gossip variation",102,43.0,0.4215686274509804
754,"sicilian defense: french variation, westerinen attack",102,47.0,0.46078431372549017
755,nimzo-larsen attack: dutch variation,102,55.0,0.5392156862745098
756,"sicilian defense: najdorf variation, adams attack",102,46.0,0.45098039215686275
757,mikenas defense: lithuanian variation,102,35.0,0.3431372549019608
758,russian game: cochrane gambit,100,36.0,0.36
759,vienna game: paulsen variation,100,57.0,0.57
760,philidor defense: steinitz variation,100,46.0,0.46
761,"nimzowitsch defense: scandinavian variation, bogoljubov variation",100,47.0,0.47
762,"italian game: classical variation, la bourdonnais variation",99,56.0,0.5656565656565656
763,alekhine defense: balogh variation,99,47.0,0.47474747474747475
764,"english opening: four knights system, nimzowitsch variation",99,49.0,0.494949494949495
765,"english opening: king's english variation, two knights variation, smyslov system",99,55.0,0.5555555555555556
766,"english opening: symmetrical variation, four knights variation",98,55.0,0.5612244897959183
767,caro-kann defense: rasa-studier gambit,98,54.0,0.5510204081632653
768,slav defense: two knights attack,98,49.0,0.5
769,lion defense: lion's jaw,98,36.0,0.3673469387755102
770,three knights opening: winawer defense,98,45.0,0.45918367346938777
771,philidor defense: philidor countergambit,98,61.0,0.6224489795918368
772,"philidor defense: nimzowitsch variation, klein variation",98,60.0,0.6122448979591837
773,king's indian defense: 3.nc3,98,53.0,0.5408163265306123
774,king's indian defense: saemisch variation,97,61.0,0.6288659793814433
775,"scotch game: scotch gambit, sarratt variation",97,51.0,0.5257731958762887
776,ruy lopez: schliemann defense,97,53.0,0.5463917525773195
777,"french defense: classical variation, delayed exchange variation",97,50.0,0.5154639175257731
778,queen's gambit declined: charousek (petrosian) variation,97,36.0,0.3711340206185567
779,english opening: jaenisch gambit,97,50.0,0.5154639175257731
780,philidor defense: larsen variation,96,56.0,0.5833333333333334
781,"nimzo-indian defense: classical variation, berlin variation",96,49.0,0.5104166666666666
782,lasker simul special,96,41.0,0.4270833333333333
783,sicilian defense: sozin attack,95,40.0,0.42105263157894735
784,"italian game: scotch gambit, de riviere defense",95,52.0,0.5473684210526316
785,"alekhine defense: modern variation, main line",95,56.0,0.5894736842105263
786,french defense: classical variation,95,44.0,0.4631578947368421
787,"italian game: evans gambit, mcdonnell defense",95,48.0,0.5052631578947369
788,caro-kann defense: accelerated panov attack,95,47.0,0.49473684210526314
789,"french defense: winawer variation, fingerslip variation",94,37.0,0.39361702127659576
790,"french defense: tarrasch variation, pawn center variation",94,45.0,0.4787234042553192
791,"sicilian defense: sozin, not scheveningen",94,34.0,0.3617021276595745
792,bishop's opening: urusov gambit,94,51.0,0.5425531914893617
793,hungarian opening: dutch defense,93,51.0,0.5483870967741935
794,"caro-kann defense: karpov variation, modern variation, kasparov attack",93,35.0,0.3763440860215054
795,"english opening: agincourt defense, catalan defense, semi-slav defense",93,52.0,0.5591397849462365
796,queen's indian defense: kasparov variation,93,40.0,0.43010752688172044
797,slav defense: geller gambit #2,93,41.0,0.44086021505376344
798,"alekhine defense: modern variation, larsen variation",92,43.0,0.4673913043478261
799,"king's pawn game: clam variation, king's gambit reversed",92,45.0,0.4891304347826087
800,"ruy lopez: morphy defense, neo-arkhangelsk variation",91,52.0,0.5714285714285714
801,"sicilian defense: alapin variation, barmen defense, central exchange",90,41.0,0.45555555555555555
802,"italian game: two knights defense, open variation",90,52.0,0.5777777777777777
803,"neo-gruenfeld defense: classical variation, original defense",90,48.0,0.5333333333333333
804,"sicilian defense: sozin attack, leonhardt variation",90,28.0,0.3111111111111111
805,valencia opening,90,50.0,0.5555555555555556
806,"pirc defense: classical variation, quiet system",89,48.0,0.5393258426966292
807,"italian game: giuoco piano, greco's attack",89,49.0,0.550561797752809
808,"king's gambit accepted, blachly gambit",89,42.0,0.47191011235955055
809,"italian game: two knights defense, polerio defense, suhle defense",88,38.0,0.4318181818181818
810,"nimzo-indian defense: classical variation, noa variation",88,44.0,0.5
811,latvian gambit: mlotkowski variation,88,48.0,0.5454545454545454
812,pirc defense: kholmov system,88,43.0,0.48863636363636365
813,"queen's gambit declined: neo-orthodox variation, main line",88,43.0,0.48863636363636365
814,caro-kann defense: masi variation,88,60.0,0.6818181818181818
815,queen's pawn game: liedmann gambit,87,42.0,0.4827586206896552
816,"gruenfeld defense: three knights variation, hungarian variation",87,32.0,0.367816091954023
817,rat defense: balogh defense,87,60.0,0.6896551724137931
818,sicilian defense: prins variation,87,36.0,0.41379310344827586
819,englund gambit complex: felbecker gambit,87,51.0,0.5862068965517241
820,"nimzowitsch defense: kennedy variation, de smet gambit",87,37.0,0.42528735632183906
821,budapest defense: fajarowicz variation,87,41.0,0.47126436781609193
822,indian game: czech-indian,86,43.0,0.5
823,nimzo-indian defense: saemisch variation,86,46.0,0.5348837209302325
824,"four knights game: italian variation, noa gambit",86,37.0,0.43023255813953487
825,"sicilian defense: paulsen variation, bastrikov variation, english attack",86,37.0,0.43023255813953487
826,french defense: diemer-duhm gambit,86,36.0,0.4186046511627907
827,polish opening: birmingham gambit,85,31.0,0.36470588235294116
828,"benko gambit accepted, pawn return variation",85,41.0,0.4823529411764706
829,van geet opening: gruenfeld defense,85,40.0,0.47058823529411764
830,"french defense: tarrasch, open, 4.exd5 exd5",84,47.0,0.5595238095238095
831,bishop's opening: calabrese countergambit,84,45.0,0.5357142857142857
832,"sicilian defense: smith-morra gambit declined, center formation",84,50.0,0.5952380952380952
833,alekhine defense: brooklyn variation,84,42.0,0.5
834,center game: kieseritzky variation #4,84,55.0,0.6547619047619048
835,"caro-kann defense: panov attack, modern defense",83,42.0,0.5060240963855421
836,king's indian defense: larsen variation,83,37.0,0.4457831325301205
837,"queen's pawn game: colle system, gruenfeld formation",83,43.0,0.5180722891566265
838,french defense: franco-hiva gambit i,83,55.0,0.6626506024096386
839,queen's gambit declined: orthodox defense,83,43.0,0.5180722891566265
840,"english opening: anglo-scandinavian defense, schulz gambit",82,46.0,0.5609756097560976
841,"ruy lopez: schliemann defense, exchange variation",82,31.0,0.3780487804878049
842,"sicilian defense: dragon, classical attack",82,37.0,0.45121951219512196
843,polish opening: outflank variation,82,36.0,0.43902439024390244
844,trompowsky attack: edge variation,81,37.0,0.4567901234567901
845,"ruy lopez: morphy defense, classical defense deferred",81,44.0,0.5432098765432098
846,king's indian attack: keres variation #2,81,51.0,0.6296296296296297
847,"english opening: king's english variation, four knights variation, quiet line #3",81,44.0,0.5432098765432098
848,"italian game: two knights defense, traxler counterattack, bishop sacrifice line",81,46.0,0.5679012345679012
849,"alekhine defense: modern variation, larsen-haakert variation",81,45.0,0.5555555555555556
850,philidor defense: nimzowitsch variation #2,81,52.0,0.6419753086419753
851,"king's gambit accepted, polerio gambit",81,35.0,0.43209876543209874
852,"italian game: scotch gambit, janowski defense",81,36.0,0.4444444444444444
853,french defense: bird invitation,80,35.0,0.4375
854,slav defense: alekhine variation,80,39.0,0.4875
855,"nimzowitsch defense: kennedy variation, paulsen attack",79,35.0,0.4430379746835443
856,ruy lopez: spanish countergambit,79,46.0,0.5822784810126582
857,"caro-kann defense: advance variation, bronstein variation",79,35.0,0.4430379746835443
858,queen's gambit accepted: gunsberg defense,79,50.0,0.6329113924050633
859,"pterodactyl defense: eastern, anhanguera",79,44.0,0.5569620253164557
860,"scotch game: scotch gambit, kingside variation",78,39.0,0.5
861,king's indian defense: accelerated averbakh variation,78,36.0,0.46153846153846156
862,polish opening: bugayev attack,78,39.0,0.5
863,"queen's gambit declined: harrwitz attack, orthodox defense",77,37.0,0.4805194805194805
864,"vienna game: vienna gambit, main line",77,31.0,0.4025974025974026
865,king's gambit: panteldakis countergambit,77,50.0,0.6493506493506493
866,queen's gambit declined: barmen variation,76,45.0,0.5921052631578947
867,scotch game: steinitz variation,76,30.0,0.39473684210526316
868,caro-kann defense: euwe attack,76,40.0,0.5263157894736842
869,"king's gambit accepted, rosentreter gambit",76,36.0,0.47368421052631576
870,"gruenfeld defense: exchange variation, classical variation",76,39.0,0.5131578947368421
871,"english opening: symmetrical variation, symmetrical variation",76,41.0,0.5394736842105263
872,italian game: two knights defense #2,76,42.0,0.5526315789473685
873,grob opening: grob gambit declined,76,29.0,0.3815789473684211
874,bird opening: lasker variation,75,42.0,0.56
875,"french defense: advance variation, wade variation",75,32.0,0.4266666666666667
876,bishop's opening: philidor variation,75,38.0,0.5066666666666667
877,"sicilian defense: dragon variation, classical variation #2",75,40.0,0.5333333333333333
878,italian game: scotch gambit declined,75,55.0,0.7333333333333333
